Temperature,Date,site
27.04,2022-12-01,Emerald
26.91,2022-12-02,Emerald
26.76,2022-12-03,Emerald
26.8,2022-12-04,Emerald
26.71,2022-12-05,Emerald
26.67,2022-12-06,Emerald
26.61,2022-12-07,Emerald
26.42,2022-12-08,Emerald
26.48,2022-12-09,Emerald
26.36,2022-12-10,Emerald
26.44,2022-12-11,Emerald
26.3,2022-12-12,Emerald
26.34,2022-12-13,Emerald
26.32,2022-12-14,Emerald
26.060000000000002,2022-12-15,Emerald
26.3,2022-12-16,Emerald
25.97,2022-12-17,Emerald
25.8,2022-12-18,Emerald
26.1,2022-12-19,Emerald
25.98,2022-12-20,Emerald
25.91,2022-12-21,Emerald
25.78,2022-12-22,Emerald
25.78,2022-12-23,Emerald
25.71,2022-12-24,Emerald
25.53,2022-12-25,Emerald
25.37,2022-12-26,Emerald
25.35,2022-12-27,Emerald
25.39,2022-12-28,Emerald
25.19,2022-12-29,Emerald
25.39,2022-12-30,Emerald
25.3,2022-12-31,Emerald
26.87,2022-12-01,MacNorth
26.78,2022-12-02,MacNorth
26.64,2022-12-03,MacNorth
26.63,2022-12-04,MacNorth
26.43,2022-12-05,MacNorth
26.28,2022-12-06,MacNorth
26.080000000000002,2022-12-07,MacNorth
25.72,2022-12-08,MacNorth
25.52,2022-12-09,MacNorth
25.5,2022-12-10,MacNorth
25.64,2022-12-11,MacNorth
25.53,2022-12-12,MacNorth
25.67,2022-12-13,MacNorth
25.84,2022-12-14,MacNorth
25.41,2022-12-15,MacNorth
25.77,2022-12-16,MacNorth
25.52,2022-12-17,MacNorth
25.44,2022-12-18,MacNorth
25.61,2022-12-19,MacNorth
25.53,2022-12-20,MacNorth
25.52,2022-12-21,MacNorth
25.11,2022-12-22,MacNorth
25.310000000000002,2022-12-23,MacNorth
25.27,2022-12-24,MacNorth
25.17,2022-12-25,MacNorth
25.05,2022-12-26,MacNorth
25.03,2022-12-27,MacNorth
25,2022-12-28,MacNorth
24.78,2022-12-29,MacNorth
24.88,2022-12-30,MacNorth
24.6,2022-12-31,MacNorth
25.57,2023-01-01,Emerald
25.62,2023-01-02,Emerald
25.37,2023-01-03,Emerald
25.39,2023-01-04,Emerald
25.29,2023-01-05,Emerald
25.69,2023-01-06,Emerald
25.45,2023-01-07,Emerald
25.29,2023-01-08,Emerald
25.11,2023-01-09,Emerald
25,2023-01-10,Emerald
24.77,2023-01-11,Emerald
24.900000000000002,2023-01-12,Emerald
24.810000000000002,2023-01-13,Emerald
24.490000000000002,2023-01-14,Emerald
24.26,2023-01-15,Emerald
24.150000000000002,2023-01-16,Emerald
24.38,2023-01-17,Emerald
24.23,2023-01-18,Emerald
24.44,2023-01-19,Emerald
24.88,2023-01-20,Emerald
25.18,2023-01-21,Emerald
25.44,2023-01-22,Emerald
25.240000000000002,2023-01-23,Emerald
25.37,2023-01-24,Emerald
25.67,2023-01-25,Emerald
25.8,2023-01-26,Emerald
25.63,2023-01-27,Emerald
25.3,2023-01-28,Emerald
25.36,2023-01-29,Emerald
25.64,2023-01-30,Emerald
25.69,2023-01-31,Emerald
25.87,2023-02-01,Emerald
25.900000000000002,2023-02-02,Emerald
25.95,2023-02-03,Emerald
25.94,2023-02-04,Emerald
25.68,2023-02-05,Emerald
25.17,2023-02-06,Emerald
25.18,2023-02-07,Emerald
25.17,2023-02-08,Emerald
24.810000000000002,2023-02-09,Emerald
25.16,2023-02-10,Emerald
24.97,2023-02-11,Emerald
25.27,2023-02-12,Emerald
25.080000000000002,2023-02-13,Emerald
24.46,2023-02-14,Emerald
24.080000000000002,2023-02-15,Emerald
24.490000000000002,2023-02-16,Emerald
24.41,2023-02-17,Emerald
24.68,2023-02-18,Emerald
24.77,2023-02-19,Emerald
25.23,2023-02-20,Emerald
25.42,2023-02-21,Emerald
25.59,2023-02-22,Emerald
25.490000000000002,2023-02-23,Emerald
25.91,2023-02-24,Emerald
25.88,2023-02-25,Emerald
26.12,2023-02-26,Emerald
26.17,2023-02-27,Emerald
26.14,2023-02-28,Emerald
26.11,2023-03-01,Emerald
26,2023-03-02,Emerald
25.62,2023-03-03,Emerald
25.51,2023-03-04,Emerald
25.6,2023-03-05,Emerald
25.76,2023-03-06,Emerald
25.79,2023-03-07,Emerald
25.94,2023-03-08,Emerald
26.01,2023-03-09,Emerald
25.69,2023-03-10,Emerald
25.34,2023-03-11,Emerald
25.3,2023-03-12,Emerald
25.29,2023-03-13,Emerald
25.21,2023-03-14,Emerald
25.09,2023-03-15,Emerald
24.98,2023-03-16,Emerald
24.86,2023-03-17,Emerald
24.8,2023-03-18,Emerald
24.8,2023-03-19,Emerald
24.41,2023-03-20,Emerald
24.560000000000002,2023-03-21,Emerald
24.94,2023-03-22,Emerald
24.87,2023-03-23,Emerald
24.93,2023-03-24,Emerald
25.35,2023-03-25,Emerald
25.650000000000002,2023-03-26,Emerald
25.88,2023-03-27,Emerald
26.11,2023-03-28,Emerald
26.19,2023-03-29,Emerald
26.27,2023-03-30,Emerald
26.19,2023-03-31,Emerald
26.05,2023-04-01,Emerald
26.26,2023-04-02,Emerald
26.400000000000002,2023-04-03,Emerald
26.48,2023-04-04,Emerald
26.560000000000002,2023-04-05,Emerald
26.36,2023-04-06,Emerald
26.35,2023-04-07,Emerald
26.400000000000002,2023-04-08,Emerald
26.3,2023-04-09,Emerald
26.3,2023-04-10,Emerald
26.21,2023-04-11,Emerald
25.75,2023-04-12,Emerald
26.060000000000002,2023-04-13,Emerald
26.37,2023-04-14,Emerald
26.71,2023-04-15,Emerald
26.7,2023-04-16,Emerald
26.98,2023-04-17,Emerald
26.900000000000002,2023-04-18,Emerald
26.52,2023-04-19,Emerald
26.36,2023-04-20,Emerald
26.46,2023-04-21,Emerald
26.48,2023-04-22,Emerald
26.740000000000002,2023-04-23,Emerald
26.7,2023-04-24,Emerald
26.71,2023-04-25,Emerald
26.73,2023-04-26,Emerald
26.78,2023-04-27,Emerald
26.990000000000002,2023-04-28,Emerald
26.93,2023-04-29,Emerald
27.17,2023-04-30,Emerald
26.7,2023-05-01,Emerald
26.59,2023-05-02,Emerald
26.61,2023-05-03,Emerald
26.76,2023-05-04,Emerald
26.57,2023-05-05,Emerald
26.69,2023-05-06,Emerald
26.75,2023-05-07,Emerald
26.63,2023-05-08,Emerald
26.92,2023-05-09,Emerald
27.03,2023-05-10,Emerald
27.150000000000002,2023-05-11,Emerald
27.17,2023-05-12,Emerald
27.240000000000002,2023-05-13,Emerald
27.14,2023-05-14,Emerald
27.3,2023-05-15,Emerald
27.42,2023-05-16,Emerald
27.7,2023-05-17,Emerald
28.1,2023-05-18,Emerald
28.28,2023-05-19,Emerald
28.19,2023-05-20,Emerald
28.34,2023-05-21,Emerald
28.35,2023-05-22,Emerald
28.490000000000002,2023-05-23,Emerald
28.59,2023-05-24,Emerald
28.53,2023-05-25,Emerald
28.61,2023-05-26,Emerald
28.42,2023-05-27,Emerald
28.47,2023-05-28,Emerald
28.28,2023-05-29,Emerald
28.29,2023-05-30,Emerald
28.37,2023-05-31,Emerald
28.400000000000002,2023-06-01,Emerald
28.310000000000002,2023-06-02,Emerald
28.59,2023-06-03,Emerald
28.47,2023-06-04,Emerald
28.62,2023-06-05,Emerald
28.490000000000002,2023-06-06,Emerald
28.3,2023-06-07,Emerald
28.44,2023-06-08,Emerald
28.41,2023-06-09,Emerald
28.64,2023-06-10,Emerald
28.78,2023-06-11,Emerald
28.93,2023-06-12,Emerald
28.77,2023-06-13,Emerald
29,2023-06-14,Emerald
29.17,2023-06-15,Emerald
29.28,2023-06-16,Emerald
29.25,2023-06-17,Emerald
29.17,2023-06-18,Emerald
29.1,2023-06-19,Emerald
29.18,2023-06-20,Emerald
29.3,2023-06-21,Emerald
29.45,2023-06-22,Emerald
29.330000000000002,2023-06-23,Emerald
29.830000000000002,2023-06-24,Emerald
29.39,2023-06-25,Emerald
29.71,2023-06-26,Emerald
29.8,2023-06-27,Emerald
29.87,2023-06-28,Emerald
30.02,2023-06-29,Emerald
30.150000000000002,2023-06-30,Emerald
30.2,2023-07-01,Emerald
30.18,2023-07-02,Emerald
30.34,2023-07-03,Emerald
30.54,2023-07-04,Emerald
30.86,2023-07-05,Emerald
30.89,2023-07-06,Emerald
31,2023-07-07,Emerald
31.04,2023-07-08,Emerald
30.900000000000002,2023-07-09,Emerald
30.990000000000002,2023-07-10,Emerald
31.150000000000002,2023-07-11,Emerald
31.23,2023-07-12,Emerald
31.28,2023-07-13,Emerald
31.3,2023-07-14,Emerald
31.28,2023-07-15,Emerald
31.44,2023-07-16,Emerald
31.12,2023-07-17,Emerald
31.150000000000002,2023-07-18,Emerald
31,2023-07-19,Emerald
30.970000000000002,2023-07-20,Emerald
31.01,2023-07-21,Emerald
31.18,2023-07-22,Emerald
31.29,2023-07-23,Emerald
31.34,2023-07-24,Emerald
31.32,2023-07-25,Emerald
31.11,2023-07-26,Emerald
30.990000000000002,2023-07-27,Emerald
30.71,2023-07-28,Emerald
30.32,2023-07-29,Emerald
30.42,2023-07-30,Emerald
30.38,2023-07-31,Emerald
30.78,2023-08-01,Emerald
30.72,2023-08-02,Emerald
30.830000000000002,2023-08-03,Emerald
30.810000000000002,2023-08-04,Emerald
31.07,2023-08-05,Emerald
31.26,2023-08-06,Emerald
31.39,2023-08-07,Emerald
31.28,2023-08-08,Emerald
31.41,2023-08-09,Emerald
31.63,2023-08-10,Emerald
31.400000000000002,2023-08-11,Emerald
31.54,2023-08-12,Emerald
31.400000000000002,2023-08-13,Emerald
31.2,2023-08-14,Emerald
31.18,2023-08-15,Emerald
30.95,2023-08-16,Emerald
30.91,2023-08-17,Emerald
31.07,2023-08-18,Emerald
30.85,2023-08-19,Emerald
30.82,2023-08-20,Emerald
30.830000000000002,2023-08-21,Emerald
30.77,2023-08-22,Emerald
30.79,2023-08-23,Emerald
30.7,2023-08-24,Emerald
30.71,2023-08-25,Emerald
30.68,2023-08-26,Emerald
30.810000000000002,2023-08-27,Emerald
30.67,2023-08-28,Emerald
30.87,2023-08-29,Emerald
30.740000000000002,2023-08-30,Emerald
30.61,2023-08-31,Emerald
30.53,2023-09-01,Emerald
30.43,2023-09-02,Emerald
30.13,2023-09-03,Emerald
29.830000000000002,2023-09-04,Emerald
29.89,2023-09-05,Emerald
29.830000000000002,2023-09-06,Emerald
29.78,2023-09-07,Emerald
29.810000000000002,2023-09-08,Emerald
30.03,2023-09-09,Emerald
30.22,2023-09-10,Emerald
30.400000000000002,2023-09-11,Emerald
30.46,2023-09-12,Emerald
30.54,2023-09-13,Emerald
30.53,2023-09-14,Emerald
30.51,2023-09-15,Emerald
30.51,2023-09-16,Emerald
30.73,2023-09-17,Emerald
30.71,2023-09-18,Emerald
30.7,2023-09-19,Emerald
30.54,2023-09-20,Emerald
30.48,2023-09-21,Emerald
30.41,2023-09-22,Emerald
30.48,2023-09-23,Emerald
30.37,2023-09-24,Emerald
30.3,2023-09-25,Emerald
30.05,2023-09-26,Emerald
29.84,2023-09-27,Emerald
30.060000000000002,2023-09-28,Emerald
29.95,2023-09-29,Emerald
30.13,2023-09-30,Emerald
30.1,2023-10-01,Emerald
29.86,2023-10-02,Emerald
29.85,2023-10-03,Emerald
29.69,2023-10-04,Emerald
29.560000000000002,2023-10-05,Emerald
29.63,2023-10-06,Emerald
