FrameSync,DateTime (UTC+00:00),Sample Number (#),Error Flags (#),External pH (pH),Internal pH (pH),External pH (Volt),Internal pH (Volt),pH Temperature (Celsius),Relative Humidity (%),Int Temperature (Celsius)
SEAFET02059,11/14/2022 00:00:00,1,8000,6.8302,6.9732,-0.998999,-1.038198,  22.4952, 50.9, 22.3
SEAFET02059,11/14/2022 00:30:00,2,0000,6.8297,6.9728,-0.999019,-1.038216,  22.5107, 50.9, 22.3
SEAFET02059,11/14/2022 01:00:00,3,0000,6.8293,6.9722,-0.999028,-1.038248,  22.5270, 50.9, 22.3
SEAFET02059,11/14/2022 01:30:00,4,0000,6.8292,6.9724,-0.999025,-1.038236,  22.5418, 50.9, 22.3
SEAFET02059,11/14/2022 02:00:00,5,0000,6.8292,6.9724,-0.999019,-1.038235,  22.5556, 50.9, 22.3
SEAFET02059,11/14/2022 02:30:00,6,0000,6.8291,6.9721,-0.999015,-1.038248,  22.5684, 50.9, 22.3
SEAFET02059,11/14/2022 03:00:00,7,0000,6.8286,6.9719,-0.999036,-1.038262,  22.5811, 50.9, 22.4
SEAFET02059,11/14/2022 03:30:00,8,0000,6.8289,6.9721,-0.999013,-1.038247,  22.5920, 50.9, 22.4
SEAFET02059,11/14/2022 04:00:00,9,0000,6.8290,6.9721,-0.999002,-1.038244,  22.6022, 50.9, 22.4
SEAFET02059,11/14/2022 04:30:00,10,0000,6.8280,6.9712,-0.999051,-1.038300,  22.6109, 50.9, 22.4
SEAFET02059,11/14/2022 05:00:00,11,0000,6.8275,6.9709,-0.999079,-1.038315,  22.6187, 51.0, 22.4
SEAFET02059,11/14/2022 05:30:00,12,0000,6.8274,6.9704,-0.999079,-1.038342,  22.6248, 50.9, 22.4
SEAFET02059,11/14/2022 06:00:00,13,0000,6.8270,6.9706,-0.999097,-1.038332,  22.6295, 51.0, 22.4
SEAFET02059,11/14/2022 06:30:00,14,0000,6.8269,6.9704,-0.999101,-1.038342,  22.6338, 50.9, 22.4
SEAFET02059,11/14/2022 07:00:00,15,0000,6.8269,6.9705,-0.999098,-1.038336,  22.6372, 51.0, 22.4
SEAFET02059,11/14/2022 07:30:00,16,0000,6.8266,6.9703,-0.999114,-1.038346,  22.6407, 50.9, 22.4
SEAFET02059,11/14/2022 08:00:00,17,0000,6.8263,6.9699,-0.999132,-1.038371,  22.6438, 50.9, 22.4
SEAFET02059,11/14/2022 08:30:00,18,0000,6.8259,6.9697,-0.999149,-1.038381,  22.6485, 51.0, 22.4
SEAFET02059,11/14/2022 09:00:00,19,0000,6.8264,6.9700,-0.999121,-1.038362,  22.6515, 50.9, 22.5
SEAFET02059,11/14/2022 09:30:00,20,0000,6.8260,6.9695,-0.999143,-1.038388,  22.6547, 50.9, 22.5
SEAFET02059,11/14/2022 10:00:00,21,0000,6.8262,6.9700,-0.999126,-1.038361,  22.6570, 51.0, 22.5
